Date,Recipe,Item Type
2025-08-25 00:00:00,Dosa,
2025-08-26 00:00:00,Hyderabadi Biryani,
2025-08-27 00:00:00,Maggie,
2025-08-28 00:00:00,Chinese,
2025-08-29 00:00:00,Pav-Bhaji,
2025-08-30 00:00:00,Vagharelo Bhaat,
2025-08-31 00:00:00,Paneer Sabji,
2025-09-01 00:00:00,Idada,
2025-09-02 00:00:00,Aloo Parotha,
2025-09-03 00:00:00,Chinese,
2025-09-04 00:00:00,Khichdi-Kadhi,
2025-09-05 00:00:00,Egg,
2025-09-06 00:00:00,Chevti-Dal,
2025-09-07 00:00:00,Paneer Sabji,
2025-09-08 00:00:00,Frankie,
2025-09-09 00:00:00,Savji Bhaat,
2025-09-10 00:00:00,Paneer Bhurji,
2025-09-11 00:00:00,Locho,
2025-09-12 00:00:00,Egg,
2025-09-13 00:00:00,Vagharelo Bhaat,
2025-09-14 00:00:00,Pav-Bhaji,
2025-09-15 00:00:00,Lal-Bataka,
2025-09-16 00:00:00,Paneer Pulao,
2025-09-17 00:00:00,Maggie,
2025-09-18 00:00:00,Patra,Occassional
2025-09-19 00:00:00,Khichdi-Kadhi,Rice
2025-09-20,Bataka-Vada,Fast food
